PreviousSalePrice,PropertyTaxRate,SquareFootage,BackyardSpace,AgeOfHome,IsLuxury,Floors,Fireplace_Yes,Garage_Yes,Price
537940.8121,1.63,1325.57,793.98,51.99,0,2,False,False,570597.1907
529442.9941,1.81,1113.87,454.43,77.3,1,1,False,False,412716.6364
655635.0956,0.87,1811.08,856.26,19.48,1,1,False,False,491887.0762
256491.0536,2.55,805.96,844.53,3.85,1,2,False,False,423416.6083
152674.0331,1.51,976.06,692.25,8.45,0,1,False,True,244151.4962
25503.50346,1.59,550.0,96.25,81.32,0,1,False,False,110454.7642
510563.7093,1.71,707.65,283.43,56.74,0,2,False,False,264419.6829
505096.9148,1.55,1467.32,556.03,49.6,1,2,False,False,317864.72
177467.5749,0.81,679.29,889.96,63.3,0,2,False,False,216655.028
160910.6681,1.82,960.83,448.31,26.01,0,1,False,False,211272.5621
269591.7671,2.44,769.45,89.63,44.19,0,1,False,True,215967.2741
247070.4983,2.01,576.65,296.65,60.78,0,1,False,False,164491.9501
487162.7012,1.62,1604.98,1003.18,4.37,1,1,False,False,706219.0713
416438.3391,0.72,959.52,579.14,19.73,1,2,False,False,625244.5246
116324.1925,1.81,1610.1,98.2,44.86,0,1,False,False,149402.0683
171184.1075,1.88,696.62,675.25,3.5,1,1,True,False,285677.2102
102507.2959,1.47,550.0,453.98,41.17,1,1,False,True,160605.5604
486335.9738,1.17,1860.6,554.25,41.9,1,1,False,False,668770.8501
376378.7618,1.55,1655.49,607.94,14.08,0,1,False,True,251984.0737
264522.6406,0.35,1116.92,522.11,15.31,1,1,False,True,320741.123
77579.26262,1.58,908.42,14.54,51.58,0,1,False,False,142639.1425
483387.5956,1.24,1318.16,785.01,43.18,1,1,False,False,482068.3311
27769.83061,1.56,637.96,9.81,47.05,1,2,False,False,118735.8676
119905.8368,2.03,550.0,404.19,49.09,0,1,False,False,224462.6259
510196.8094,2.04,945.51,585.59,28.81,0,1,True,True,237318.6527
635160.9836,1.57,2275.85,421.72,12.03,1,1,False,False,731287.7622
287530.9258,1.59,1062.03,248.15,28.6,0,2,True,True,247749.1269
727254.452,2.32,1778.46,657.76,53.84,1,1,False,True,379709.2558
30300.22859,1.55,785.06,165.5,46.28,1,2,False,False,115615.3203
230712.9661,2.75,550.0,459.12,43.19,0,1,False,False,194645.6957
30841.13558,1.06,550.0,272.42,24.19,0,1,True,True,122909.3313
950519.9398,1.17,2130.18,24.65,11.66,1,1,False,False,482163.9382
278496.582,0.72,1887.43,272.29,26.8,0,1,True,True,245250.8451
536730.7882,0.52,1748.79,332.43,39.31,1,1,False,True,702377.449
761087.4041,1.29,1672.22,527.91,47.92,0,1,False,True,448776.4174
375009.5102,2.31,1380.15,439.64,80.32,1,1,True,False,294734.4667
270109.6852,1.06,1199.76,456.96,72.11,1,1,False,True,374306.8394
637977.8086,1.75,1432.2,981.5,35.44,1,1,False,False,727626.7059
167034.1941,1.3,1168.86,288.52,15.84,1,1,False,True,300740.9772
314845.9394,1.16,645.07,910.19,20.42,1,1,False,False,376483.678
872130.4597,0.79,1755.32,436.33,8.94,1,1,False,False,470067.4985
117689.5115,1.75,720.82,875.02,64.39,0,1,False,False,156581.1599
466426.9364,1.7,1331.78,90.87,89.33,1,1,True,True,353173.3423
181354.0317,0.56,550.0,185.8,75.0,0,1,True,True,214792.7871
357829.8542,1.52,669.39,203.36,17.0,1,1,True,False,507159.1507
509892.6429,1.06,1302.97,786.75,56.11,1,1,False,True,578051.277
341604.2501,1.98,1885.27,385.69,63.41,0,1,True,True,432179.2694
213104.6161,1.28,550.0,705.9,46.35,0,1,True,False,201150.2466
42440.63879,1.48,1007.21,363.11,48.97,0,1,False,False,110294.775
194565.4093,1.53,1393.1,461.68,2.05,1,1,True,True,323162.2459
120043.7932,2.13,615.46,609.89,87.61,1,1,True,True,182808.4471
128752.3861,2.24,1209.1,587.38,12.89,0,1,False,True,166949.991
473123.4682,1.44,1433.79,760.96,9.39,1,1,False,True,374546.7069
252792.5487,1.94,611.55,846.64,145.4,1,1,True,False,325228.2416
15339.11896,1.36,858.03,633.21,82.14,0,1,False,False,101200.0991
538301.9878,1.29,1139.21,394.97,31.62,1,1,True,True,367534.6529
108846.7941,1.47,719.79,393.87,39.52,0,2,False,False,151847.9263
327989.56,1.22,1365.18,1306.51,55.42,1,1,False,True,437594.4926
178808.4069,1.36,1047.06,621.55,61.2,1,2,False,True,297256.5871
628858.6991,1.71,1498.46,289.49,27.92,1,1,False,False,322050.2796
741544.3407,1.22,1277.81,677.44,36.75,1,1,False,False,395024.0609
87417.61365,1.23,862.01,249.1,33.68,0,1,False,False,133676.534
558252.0006,1.43,1451.42,414.73,7.24,1,1,False,False,442888.6542
234380.9466,1.14,1197.67,392.26,8.31,0,2,False,True,265171.2807
138752.428,1.78,759.17,303.47,61.69,0,1,True,False,183177.725
56464.73526,1.19,843.57,540.72,66.24,0,2,True,False,146723.0108
368304.0356,1.13,1438.23,1565.91,46.08,0,1,False,False,256751.1774
486523.6679,1.05,1912.38,507.06,27.11,1,1,False,False,398669.8832
61959.89971,1.68,550.0,288.76,101.52,0,1,True,False,170808.2439
128026.5367,1.68,550.0,33.49,77.55,0,2,True,True,173075.952
7285.421018,1.16,550.0,297.04,60.46,1,1,False,True,95078.5366
289854.3112,1.12,795.54,446.84,48.88,1,1,False,False,285727.0871
601605.9602,1.56,1614.62,450.9,51.83,1,1,False,False,705372.4253
142581.1367,0.69,550.0,536.78,23.97,0,2,False,True,248336.565
334283.3214,1.93,1333.9,978.39,55.63,0,1,False,False,257001.1014
328393.3614,2.03,1592.82,741.86,50.99,1,1,False,False,286637.342
321353.8058,1.65,1004.32,760.44,16.48,1,1,True,True,439796.0716
871444.6594,1.64,1653.2,853.9,74.53,1,2,True,False,671258.9396
404157.5966,1.46,1164.87,501.71,48.85,1,2,False,True,423666.1849
121014.9423,1.6,943.11,780.54,72.2,0,1,False,False,196299.6935
356983.5141,1.61,1259.6,770.83,102.78,1,1,True,True,530368.3448
64905.60061,1.64,930.28,2.75,90.78,0,1,False,False,121786.8176
681630.8752,1.15,2019.13,1084.36,31.91,1,1,False,True,883958.615
348640.5116,1.44,1037.88,1080.55,93.84,1,2,False,False,284620.829
169050.7278,0.79,754.61,170.87,6.81,0,1,False,True,185540.2315
576056.9844,1.02,2047.85,667.98,42.05,0,1,False,True,492346.072
298070.1418,1.39,550.0,240.37,0.76,0,1,False,True,259413.6359
-6084.476378,1.46,550.0,568.72,86.15,0,1,False,False,99931.23778
232527.2587,1.77,697.13,430.79,84.78,1,1,False,True,299913.9487
145105.6944,0.68,845.78,579.32,68.41,0,1,False,False,240991.5035
274610.9822,1.21,1505.89,1089.14,48.31,1,1,False,False,334478.0946
317161.4902,2.55,550.0,424.28,53.06,1,2,False,True,317819.7604
61072.74943,1.44,986.24,267.45,20.48,0,1,True,True,122559.9246
216402.4859,1.06,793.69,446.42,47.08,0,1,False,True,262745.4824
1043861.166,0.95,1886.86,257.81,16.45,0,2,False,False,801352.1832
203291.9003,1.49,1284.04,727.56,11.36,1,1,True,True,349805.471
136462.0516,1.45,1004.76,838.79,29.4,0,1,False,True,249935.6617
469160.6223,0.62,1028.15,785.22,24.63,1,1,False,True,713417.5022
487361.7384,0.7,645.66,432.17,86.32,1,1,False,True,562160.7089
238363.5957,1.63,1009.88,1151.39,2.43,1,1,False,False,373180.0435
479809.0114,1.01,1287.61,1054.2,50.01,1,1,False,False,385714.3105
323495.5492,0.01,1701.34,798.06,36.11,1,1,False,False,477183.1747
172031.378,1.68,1067.85,429.77,30.9,0,1,False,False,170448.1784
